,,accuracy,precision,recall,f1,roc_auc
full,Naive Bayes,0.9604765993988836,0.9176072890694739,0.975,0.9452825583841784,0.9877699984243584
full,kNN_k3,0.9648883641047659,0.9574082219998701,0.9414893617021278,0.9491507404708163,0.9854553219561136
full,kNN_k5,0.9692464577071706,0.9660154786552301,0.9455673758865247,0.9554650850143991,0.985053493713733
full,kNN_k7,0.9707063117217689,0.962381434843441,0.9539893617021276,0.9579260386955758,0.9854183249389665
full,Bagging_kNN,0.967786603692572,0.9659188602977423,0.9414007092198581,0.9532230351402283,0.9905249207198692
full,RandomForest,0.9721661657363676,0.9475688275310125,0.9749113475177305,0.9609023912595342,0.9915686191945754
pca,Naive Bayes,0.9429046801202233,0.8764919061700415,0.975,0.9229071295479063,0.9907709506009171
pca,kNN_k3,0.9707170459424646,0.9544821247647995,0.962322695035461,0.9582808802628889,0.9803195677489693
pca,kNN_k5,0.9692357234864749,0.9542811791383221,0.9579787234042554,0.9559410227560321,0.9847793184806468
pca,kNN_k7,0.9677651352511807,0.9540362811791384,0.9538120567375886,0.953795009711639,0.9902393583063482
pca,Bagging_kNN,0.9677758694718763,0.9541038741737831,0.9538120567375886,0.9537480402998917,0.9931403613743217
pca,RandomForest,0.9721876341777588,0.9402820512820513,0.9832446808510638,0.9611944146079484,0.9911576393265671
rfe,Naive Bayes,0.9663052812365823,0.9292640527909277,0.9791666666666666,0.9532408792320426,0.9918954856055173
rfe,kNN_k3,0.9736474881923571,0.9441176470588235,0.9833333333333332,0.9630488559059988,0.9882838024942225
rfe,kNN_k5,0.9721661657363676,0.9404487179487179,0.9832446808510639,0.9611975243705728,0.9882249253381291
rfe,kNN_k7,0.9751073422069558,0.9515,0.9791666666666666,0.9649879023774458,0.9884167755579945
rfe,Bagging_kNN,0.9736260197509662,0.9440686274509804,0.9832446808510638,0.9631369183099668,0.9890488319876992
rfe,RandomForest,0.9706955775010735,0.9401470588235293,0.9790780141843971,0.9590965142695629,0.9932349225128405
